k,pmo_sse,pmo_ssi,sse_sim,ssi_sim,F_r
0.4936111682794849,0.25098103780944714,0.15133890518692295,,,0.3455956077882387
0.5069299401295254,0.2551137081883401,0.15555765724446569,,,0.3455956077882387
0.5206080832721799,0.25927024138745236,0.15983823860462287,,,0.3455956077882387
0.5346552943767371,0.2634493330102038,0.1641792460551441,,,0.3455956077882387
0.5490815317510664,0.2676496475789413,0.16857918725935017,,,0.3455956077882387
0.5638970224012344,0.2718698201026548,0.17303648253321235,,,0.3455956077882387
0.5791122692816023,0.2761084577321692,0.17754946689608264,,,0.3455956077882387
0.5947380587405506,0.28036414149687405,0.18211639238973532,,,0.3455956077882387
0.6107854681671063,0.2846354281188229,0.18673543065990017,0.2892,0.18400755548559736,0.3455956077882387
0.6272658738438913,0.28892085190060524,0.19140467579349352,,,0.3455956077882387
0.6441909590119659,0.2932189266799433,0.19612214740196854,,,0.3455956077882387
0.6615727221532756,0.29752814784725323,0.20088579394150874,,,0.3455956077882387
0.6794234854965808,0.3018469944242459,0.20569349626051858,,,0.3455956077882387
0.6977559037528968,0.3061739311854027,0.21054307135626527,,,0.3455956077882387
0.7165829730866311,0.31050741083245104,0.21543227633453166,,,0.3455956077882387
0.7359180403287902,0.31484587620341487,0.22035881255201595,,,0.3455956077882387
0.7557748124387729,0.3191877625142957,0.2253203299279084,,,0.3455956077882387
0.7761673662214691,0.32353149962576055,0.23031443140764674,,,0.3455956077882387
0.7971101583065489,0.32787551432785045,0.23533867756142512,0.3172,0.23559101269944643,0.3455956077882387
0.8186180353970106,0.33221823263562866,0.24039059129935436,,,0.3455956077882387
0.840706244794266,0.3365580820886137,0.24546766268461828,,,0.3455956077882387
0.8633904452072098,0.3408934940468157,0.250567353825523,,,0.3455956077882387
0.8866867178529464,0.34522290597620864,0.25568710382703697,,,0.3455956077882387
0.9106115778570417,0.3495447637165139,0.2608243337822248,,,0.3455956077882387
0.9351819859613738,0.3538575237242638,0.26597645178392315,,,0.3455956077882387
0.9604153605478964,0.35815965528417004,0.27114085793704534,,,0.3455956077882387
0.9863295899868237,0.3624496426824937,0.2763149493523369,,,0.3455956077882387
1.0129430453180055,0.3667259873345343,0.28149612510186506,,,0.3455956077882387
1.040274593274467,0.3709872098621202,0.28668179111866054,,,0.3455956077882387
1.0683436096573604,0.37523185211273413,0.2918693650213019,0.3746,0.2947512395281245,0.3455956077882387
1.0971699930718024,0.37945847911692554,0.29705628084716373,,,0.3455956077882387
1.1267741790333317,0.38366568097439835,0.30223999367561094,,,0.3455956077882387
1.157177154454999,0.3878520746703349,0.30741798412852417,,,0.3455956077882387
1.1884004725253443,0.39201630581039304,0.3125877627299056,,,0.3455956077882387
1.2204662679878229,0.39615705027422676,0.3177468741126802,,,0.3455956077882387
1.2533972728325036,0.40027301578217434,0.3228929010591368,,,0.3455956077882387
1.287216832411161,0.40436294337179535,0.3280234683633624,,,0.3455956077882387
1.3219489219871994,0.40842560878117296,0.3331362465050921,,,0.3455956077882387
1.3576181637321216,0.4124598237363257,0.3382289551255868,,,0.3455956077882387
1.3942498441806093,0.4164644371405195,0.3432993662973769,0.4074,0.34967606373664856,0.3455956077882387
1.4318699321565802,0.4204383361637165,0.3483453075809415,,,0.3455956077882387
1.4705050971829277,0.4243804472308337,0.35336466486263407,,,0.3455956077882387
1.5101827283880054,0.4282897369079315,0.358355384969399,,,0.3455956077882387
1.5509309539222442,0.4321652126858747,0.36331547805703424,,,0.3455956077882387
1.5927786608986791,0.436005923661441,0.36824301976996265,,,0.3455956077882387
1.6357555158715211,0.43981096111625306,0.3731361531716284,,,0.3455956077882387
1.6798919858672774,0.4435794589943136,0.37799309044575824,,,0.3455956077882387
1.7252193599833536,0.4473105942793001,0.3828121143698159,,,0.3455956077882387
1.771769771569424,0.4510035872731364,0.38759157956299206,,,0.3455956077882387
1.8195762210073143,0.4546577017777069,0.39232991351205504,,,0.3455956077882387
1.8686725991055373,0.4582722451818936,0.3970256173792842,0.4665,0.40475764621713467,0.3455956077882387
1.919093711125062,0.4618465684564165,0.40167726659755687,,,0.3455956077882387
